Date,Daily_Yield,Moving_Average,Volatility,Drawdown
2021-02-01,,,,0.0
2021-02-02,0.0392707265317158,,,0.0
2021-02-03,-0.0207380653325632,,,-0.02073806533256325
2021-02-04,-0.0054991198109066,,,-0.02612314403755971
2021-02-05,0.0026353496607176,,,-0.023556637995618256
2021-02-08,0.0131302972383458,,,-0.010735646416090976
2021-02-09,-0.0161683216431521,,,-0.026730390674940634
2021-02-10,-0.0525509443039983,,,-0.077876627707356
2021-02-11,0.0084987898117356,,,-0.0700396949857519
2021-02-12,0.0054949009034128,,,-0.06492965526559094
2021-02-16,-0.0243836608236719,,,-0.08773009339786873
2021-02-17,0.0024238672272685,,,-0.08551887226883247
2021-02-18,-0.0134936910453242,,,-0.09785859807321659
2021-02-19,-0.0077218335337335,,,-0.10482478380278425
2021-02-22,-0.0854984585555993,,,-0.18136088492482164
2021-02-23,-0.0219174294299173,,,-0.19930334995805182
2021-02-24,0.0617880726639228,,,-0.1498298471635004
2021-02-25,-0.0805908249604527,,,-0.2183457611373481
2021-02-26,-0.0098501522110203,,,-0.22604517436653446
2021-03-01,0.0635529114819255,263.4924995422363,,-0.1768580918420416
2021-03-02,-0.044527636486599,260.9363327026367,0.6163106931233039,-0.21351065550538467
2021-03-03,-0.0484237582833957,257.27649993896483,0.6031038532398291,-0.25159542541565827
2021-03-04,-0.0486221818311274,253.38899993896484,0.6154208181351896,-0.2879844887243457
2021-03-05,-0.0377993135312829,249.18833389282227,0.6194143548926561,-0.3148981862741909
2021-03-08,-0.0584496728285433,244.36783447265623,0.631947265305445,-0.35494216314070604
2021-03-09,0.1964120760817838,241.2038345336914,0.9912128005686924,-0.22824501421034754
2021-03-10,-0.0081950691083264,238.18050155639648,0.9910218465497624,-0.23456959965358926
2021-03-11,0.0472113423653142,236.4268341064453,0.9977135140263564,-0.19843260296601536
2021-03-12,-0.008390501992574,234.46133346557616,0.996437215402397,-0.20515815580801147
2021-03-15,0.0204834612062225,232.65833282470703,1.0001537762857349,-0.1888770437274224
2021-03-16,-0.0438737719594042,230.6693321228028,1.007452396824039,-0.22446406734196325
2021-03-17,0.0368307426101173,229.0636657714844,1.0187321441682702,-0.19590050302133777
2021-03-18,-0.0693207276395118,226.82666625976563,1.0441858318739656,-0.2516412652464641
2021-03-19,0.0026180050626212,224.71949996948243,1.0447812337000169,-0.24968205829022255
2021-03-22,0.0231038302993886,223.97783279418945,1.006748767654612,-0.23234683989437327
2021-03-23,-0.0117014645636592,223.3664993286133,1.004637994865781,-0.24132950614453036
2021-03-24,-0.0481605872781021,221.50399932861328,0.9893536444426566,-0.2778675226791775
2021-03-25,0.0160566274015578,220.80683288574212,0.9519828973307368,-0.26627251055627316
2021-03-26,-0.0338543824157676,219.86033248901367,0.9585484893267492,-0.2911124015728622
2021-03-29,-0.0119926670211124,218.0746658325196,0.9262033456260224,-0.299613854496195
2021-03-30,0.0398010788512122,217.22766571044923,0.9286855651754212,-0.2717377302927015
2021-03-31,0.0508322055844403,217.47316513061523,0.9301532181298012,-0.234718552879549
2021-04-01,-0.00925245592312,218.1449981689453,0.9116852524291496,-0.24179928573781254
2021-04-05,0.0442765912277189,219.6966651916504,0.9075790305261244,-0.20822874264386113
2021-04-06,0.0008247761127986,221.8403312683105,0.8731285673335708,-0.2075757086239932
2021-04-07,-0.0298574282089308,221.7968307495117,0.5465344640266037,-0.23123546001476525
2021-04-08,0.0191215961343642,222.0591644287109,0.5494490595876925,-0.2165354549587472
2021-04-09,-0.0099151557330349,221.6828315734864,0.523550388401003,-0.22430362793414255
2021-04-12,0.0368674123012944,221.8203315734864,0.5396138530269233,-0.1957057099645722
2021-04-13,0.085956903647848,222.72666549682617,0.6154542604259182,-0.12657106317148262
2021-04-14,-0.039471667046475,223.64916534423827,0.6110556446409238,-0.16104675935473461
2021-04-15,0.0090409312239807,224.2664993286133,0.59949021943636,-0.15346184080592498
2021-04-16,0.0012587029151958,225.71016616821288,0.5350603244208233,-0.15239630075712296
2021-04-19,-0.0339965846863086,226.7061668395996,0.5542756665797794,-0.1812119316988619
2021-04-20,0.0061010172675219,227.5226669311524,0.5501590232797486,-0.17621649155571575
2021-04-21,0.0349517934398941,228.88866653442383,0.557268561135013,-0.14742378052937977
2021-04-22,-0.0328306967669932,230.3790000915528,0.5397319066879747,-0.17541445186156918
2021-04-23,0.0134919082134512,231.8625,0.5392500304380518,-0.16428921933194707
2021-04-26,0.0120647150060257,233.8540000915528,0.5172163646814444,-0.15420660693572366
2021-04-27,-0.0453264790736829,235.41149978637696,0.5480847749154277,-0.1925434434671108
2021-04-28,-0.0146720943042283,236.39116592407223,0.5398107641941996,-0.20439052221112883
2021-04-29,-0.0250575517197484,236.5423332214356,0.5211955771325812,-0.2243265478495455
2021-04-30,0.047917239575582,237.337166595459,0.5449837714601694,-0.18715841721043344
2021-05-03,-0.0345906327113005,237.2346664428711,0.5396266384877143,-0.21527512185317954
2021-05-04,-0.0164987408992819,236.9343338012696,0.5428097086389202,-0.2282220942949445
2021-05-05,-0.0039489590803736,236.9338340759277,0.532081890139248,-0.2312698136637102
2021-05-06,-0.0110293385207849,236.5961669921875,0.528857870083636,-0.23974839911995915
2021-05-07,0.0133074609534211,236.5186668395996,0.5300794643858908,-0.2296313806264721
2021-05-10,-0.0644437313978407,235.3029998779297,0.5583073733753127,-0.2792768090107051
2021-05-11,-0.0188222787642885,232.88433303833008,0.4444563157999619,-0.2928424618233932
2021-05-12,-0.0442482129268541,230.5120002746582,0.4489397366589971,-0.32413291914546166
