Date,Daily_Yield,Moving_Average,Volatility,Drawdown
2021-01-30,,,,0.0
2021-01-31,-0.0337082032846696,,,-0.03370820328466962
2021-02-01,0.0127683704057766,,,-0.021370231704144923
2021-02-02,0.0588336147957078,,,0.0
2021-02-03,0.0552459817434074,,,0.0
2021-02-04,-0.0145714701202092,,,-0.01457147012020926
2021-02-05,0.0329913880914702,,,0.0
2021-02-06,0.0294068280787711,,,0.0
2021-02-07,-0.0092336933808551,,,-0.009233693380855083
2021-02-08,0.1874647376652993,,,0.0
2021-02-09,0.0061615239599552,,,0.0
2021-02-10,-0.0336248860529098,,,-0.03362488605290977
2021-02-11,0.0665910372634968,,,0.0
2021-02-12,-0.0084426238396763,,,-0.008442623839676328
2021-02-13,-0.0084062137732313,,,-0.016777867112104414
2021-02-14,0.0342162359569755,,,0.0
2021-02-15,-0.0158512610945837,,,-0.01585126109458382
2021-02-16,0.0261718837520321,,,0.0
2021-02-17,0.0599419602773032,,,0.0
2021-02-18,-0.0089975045965789,42847.487109375,,-0.008997504596578944
2021-02-19,0.0814309690047518,43928.417578125,0.9793501005376318,0.0
2021-02-20,0.003782318501482,45077.6755859375,0.9480973329063844,0.0
2021-02-21,0.0256762587859173,46277.8140625,0.945768227409898,0.0
2021-02-22,-0.0579184596353103,47212.665625,1.0034457974224136,-0.057918459635310414
2021-02-23,-0.0993019854185399,47780.282421875,1.1175723848685497,-0.15146902701968049
2021-02-24,0.0180423268866849,48419.245703125,1.10972183431004,-0.13615955383169273
2021-02-25,-0.0525392420094518,48866.7228515625,1.1449074938226564,-0.18154507609048226
2021-02-26,-0.0160124903512981,49220.4103515625,1.1482526716249353,-0.1946505776625559
2021-02-27,-0.0032652000816995,49584.6609375,1.1466182721576008,-0.1972802046621688
2021-02-28,-0.0227477545287462,49531.726171875,0.8306300728140256,-0.21554027752187915
2021-03-01,0.0995501705758645,49689.2330078125,0.9338813708915112,-0.13744717833928685
2021-03-02,-0.0252311618862803,49862.2732421875,0.92798307258515,-0.15921038821807623
2021-03-03,0.0446320599698619,49993.71875,0.904350292969214,-0.12168421584298843
2021-03-04,-0.0391203598141568,50046.5345703125,0.9216182245544784,-0.15604424534966402
2021-03-05,0.0075397016600922,50137.6240234375,0.9206090479962812,-0.14968107074528253
2021-03-06,-0.0003049805235605,50147.3787109375,0.9098715934870776,-0.14994040145752008
2021-03-07,0.0469064981467979,50310.4603515625,0.9265269443895852,-0.11006708247381948
2021-03-08,0.020306565464276,50462.79296875,0.9242166041206318,-0.09199560142525987
2021-03-09,0.049335220420617,50596.5484375,0.9129513728389052,-0.0471990042786852
2021-03-10,0.0216042437983854,50812.9861328125,0.9142062863930148,-0.026614459275777574
2021-03-11,0.0320767148487162,50908.835546875,0.8576245193721855,0.0
2021-03-12,-0.0081832066268457,50970.4640625,0.858843652484836,-0.008183206626845818
2021-03-13,0.0682165276795043,51155.62109375,0.8995838233523208,0.0
2021-03-14,-0.0316896103705583,51410.3708984375,0.8713368084091304,-0.03168961037055841
2021-03-15,-0.0572510045685531,51764.5095703125,0.7887911437523909,-0.087126352911011
2021-03-16,0.0160570219496691,52119.4880859375,0.7883313835028073,-0.0724683207224285
2021-03-17,0.0363699628422531,52708.340234375,0.7487704607953619,-0.03873402801209065
2021-03-18,-0.0171896938938616,53284.2982421875,0.7496310714247075,-0.05525789582114818
2021-03-19,0.0084296501376868,53892.208203125,0.746751199834693,-0.04729405041257846
2021-03-20,-0.0005657190459794,54551.001953125,0.732534321390534,-0.04783301431347799
2021-03-21,-0.0135512479558111,54945.6109375,0.6296457668485186,-0.06073606523185334
2021-03-22,-0.052053185400838,55253.11875,0.6661425094305125,-0.10962774496866036
2021-03-23,0.0038474981233158,55463.15390625,0.6437955959796836,-0.10620203938837483
2021-03-24,-0.035891807492523,55673.8087890625,0.6397243916943425,-0.13828206372785704
2021-03-25,-0.0202770319222229,55812.6515625,0.6483318401242418,-0.1557551458295994
2021-03-26,0.0663999247521864,56123.898046875,0.7016228310701009,-0.09969735104026411
2021-03-27,0.0151657594618888,56362.2390625,0.6793831314186186,-0.08604357762323936
2021-03-28,-0.0004067213991215,56547.4501953125,0.6762071270459581,-0.08641530325808462
2021-03-29,0.0321613785450665,56693.754296875,0.6578293963020231,-0.057033159993188004
2021-03-30,0.0202162451955827,56839.211328125,0.6571082542314696,-0.03796991114430647
2021-03-31,1.9359634988669328e-05,56894.896875,0.6440877621910309,-0.03795128659293811
2021-04-01,0.0030037350775407,56983.0828125,0.642631147703135,-0.03506154712617432
2021-04-02,0.0048819690112593,56890.144140625,0.5702397858575237,-0.030350747501471785
2021-04-03,-0.0299813502934802,56805.2228515625,0.5685244399626548,-0.059422141402441474
2021-04-04,0.0200448971410081,56947.790625,0.5150681625633773,-0.04056835497374385
2021-04-05,0.0050941385529632,57060.439453125,0.5117802151791808,-0.035680877241882535
2021-04-06,-0.0146554455947182,57026.5126953125,0.492559059524263,-0.04981340368141046
2021-04-07,-0.0368333901223608,56936.0134765625,0.5122791749093228,-0.08481199727265132
2021-04-08,0.0405898082367752,56934.878515625,0.5415375500001255,-0.047664691741350906
2021-04-09,-0.0013536328475677,56931.446484375,0.5415738961212972,-0.048953804096508347
2021-04-10,0.0265813437190596,57044.937109375,0.5489134684998302,-0.023673718270493544
2021-04-11,0.0068859039497308,57328.728125,0.4914850803328228,-0.016950829270906218
2021-04-12,-0.0051741865402374,57586.453515625,0.4934953313443821,-0.02203730905848428
2021-04-13,0.0602737647922182,58122.9130859375,0.5117381515488134,0.0
