Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume
Date,,,,,
2021-02-01,130.19922693086417,131.78595871131816,127.45408469869479,130.57887268066406,106239800
2021-02-02,132.12667146199954,132.69127555683025,131.0364096809211,131.4063262939453,83305400
2021-02-03,132.15589194554707,132.165635975879,130.0629752354402,130.38421630859375,89880900
2021-02-04,132.68154013575978,133.75232866214105,131.01693030921246,133.7425994873047,84183100
2021-02-05,133.90343805672157,133.9716737886564,132.4508217524478,133.32823181152344,75693800
2021-02-08,132.6165797613071,133.52325088194496,131.53443254526087,133.47450256347656,71297200
2021-02-09,133.19178552172198,134.4201778248724,132.44111786524098,132.5970916748047,76774200
2021-02-10,133.0552748381974,133.55248682280848,131.0274669252529,131.9926300048828,73046600
2021-02-11,132.4898491628531,132.9675589258699,130.4133074654321,131.7391815185547,64280000
2021-02-12,130.9787653308469,132.12914848493614,130.33532312132203,131.97315979003906,60145100
2021-02-16,132.09017454240117,132.5971155475775,129.45791334796667,129.84788513183594,80576300
2021-02-17,127.95651619642835,128.9021769728661,126.22118330017902,127.55680084228516,97918500
2021-02-18,125.95797287967874,126.7379014019475,124.21289601346298,126.45518493652344,96856700
2021-02-19,126.97187066157987,127.43007806091106,125.5680024488118,126.61114501953125,87668800
2021-02-22,124.797821900289,126.46491917771368,122.44830023340782,122.83826446533203,103916400
2021-02-23,120.6544792375418,123.5304515985531,115.41922654111875,122.7017822265625,158273000
2021-02-24,121.80486663626253,122.40930413496974,119.16286991288813,122.20457458496094,111039900
2021-02-25,121.5513960656033,123.28672920715788,117.51528197921584,117.95398712158203,148199500
2021-02-26,119.51383705660506,121.71712880247114,118.15871701805524,118.21721649169922,164560400
2021-03-01,120.64473383419431,124.71984514122286,119.70882406427694,124.58335876464844,116307900
2021-03-02,125.18779891061432,125.49001767022227,121.87311395477933,121.98035430908203,102260900
2021-03-03,121.6781252666424,122.55554294590044,118.78265064406548,118.99713134765625,112966300
2021-03-04,118.6949297486631,120.49850624904042,115.64347345208853,117.1155776977539,178155000
2021-03-05,117.94423786319923,118.88014757741405,114.61980182519049,118.3731918334961,153766600
2021-03-08,117.89549463389245,117.96373782106434,113.29393276187487,113.44017028808594,154376600
2021-03-09,116.04317714685729,118.99714411910483,115.80920155325997,118.05148315429688,129525800
2021-03-10,118.63644290778187,119.10439413289247,116.4526457307637,116.96935272216797,111943300
2021-03-11,119.46509072342045,120.1182765520443,118.21721109919896,118.89964294433594,103026500
2021-03-12,117.37879987716553,118.12947496626138,116.16991732521446,117.99298858642578,88105100
2021-03-15,118.36346113570012,120.88846666765528,117.39829786101335,120.87871551513672,92403800
2021-03-16,122.54579497339591,124.02765763412758,121.59039037182497,122.41905975341797,115227900
2021-03-17,120.93720389555035,122.7017830040472,119.27010655149442,121.62938690185547,111932600
2021-03-18,119.79655333524822,120.08902837100626,117.30079413178964,117.50552368164062,121229700
2021-03-19,116.89131927588032,118.38292539369922,116.67683860362827,116.97905731201172,185549500
2021-03-22,117.31055690317099,120.76172845240197,117.24231371312757,120.29376983642578,111912300
2021-03-23,120.23524984782723,121.12241111215513,119.07510844883491,119.46507263183594,95467100
2021-03-24,119.73807557407793,119.81606991796893,117.05708136591241,117.07657623291016,88530500
2021-03-25,116.54038560410483,118.6071911560223,116.01393492282537,117.56403350830078,98844700
2021-03-26,117.33003655489678,118.43168604296147,115.9359194779791,118.16845703125,94071200
2021-03-29,118.59743388740822,119.50409766319855,117.70052126390267,118.34395599365234,80819200
2021-03-30,117.09608701094061,117.3788109495409,115.87745319177584,116.891357421875,85671900
2021-03-31,118.59744636810407,120.42051782587205,118.1099928338644,119.08489990234375,118323800
2021-04-01,120.55698579856444,121.0639340927336,119.41633912027298,119.91354370117188,75089100
2021-04-05,120.76173132452315,122.99426922039768,119.98180275866349,122.74079132080078,88651200
2021-04-06,123.32571551492187,123.93990414772982,122.49704618679874,123.0429916381836,80171300
2021-04-07,122.67254049145967,124.7100924000349,121.99985233123647,124.69059753417969,83466700
2021-04-08,125.71425994840894,127.11812846744388,125.29505706125592,127.08888244628906,88844600
2021-04-09,126.54294370866688,129.70163317095958,126.22122258271084,129.6626434326172,106686700
2021-04-12,129.19467229997423,129.5163933763926,127.35209877205047,127.94679260253906,91420000
